SequenceID,Realm (-viria),Realm_score,Subrealm (-vira),Subrealm_score,Kingdom (-virae),Kingdom_score,Subkingdom (-virites),Subkingdom_score,Phylum (-viricota),Phylum_score,Subphylum (-viricotina),Subphylum_score,Class (-viricetes),Class_score,Subclass (-viricetidae),Subclass_score,Order (-virales),Order_score,Suborder (-virineae),Suborder_score,Family (-viridae),Family_score,Subfamily (-virinae),Subfamily_score,Genus,Genus_score,Subgenus (-virus),Subgenus_score,Species (binomial),Species_score
ICTVTaxoChallenge_104202,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus gossypialabadense,1
ICTVTaxoChallenge_104229,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,0.565,NA,NA,NA,NA
ICTVTaxoChallenge_104263,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Dichorhavirus,0.7318,NA,NA,NA,NA
ICTVTaxoChallenge_104787,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus ipomoeashandongense,1
ICTVTaxoChallenge_104889,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Arfiviricetes,NA,NA,NA,Cirlivirales,NA,NA,NA,Circoviridae,NA,NA,NA,Circovirus,0.67,NA,NA,NA,NA
ICTVTaxoChallenge_105310,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Patatavirales,NA,NA,NA,Potyviridae,NA,NA,NA,Macluravirus,0.4356,NA,NA,NA,NA
ICTVTaxoChallenge_105311,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,0.1278,NA,NA,NA,NA,NA,NA,NA,NA
ICTVTaxoChallenge_106223,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Alpharhabdovirinae,NA,Ohlsrhavirus,0.6691,NA,NA,NA,NA
ICTVTaxoChallenge_106294,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Arnidovirineae,NA,Arteriviridae,NA,NA,NA,Epsilonarterivirus,NA,NA,NA,Epsilonarterivirus safriver,0.992
ICTVTaxoChallenge_107012,Riboviria,NA,NA,NA,Pararnavirae,NA,NA,NA,Artverviricota,NA,NA,NA,Revtraviricetes,NA,NA,NA,Blubervirales,NA,NA,NA,Hepadnaviridae,NA,NA,NA,Avihepadnavirus,NA,NA,NA,Avihepadnavirus anatigruidae,0.7428
ICTVTaxoChallenge_107024,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Arfiviricetes,NA,NA,NA,Cirlivirales,NA,NA,NA,Circoviridae,NA,NA,NA,Cyclovirus,NA,NA,NA,Cyclovirus homa,0.9695
ICTVTaxoChallenge_107095,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus solanumsinaloaense,0.862
ICTVTaxoChallenge_107113,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Patatavirales,NA,NA,NA,Potyviridae,NA,NA,NA,Ipomovirus,NA,NA,NA,Ipomovirus lenisbatatae,0.9984
ICTVTaxoChallenge_107419,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Patatavirales,NA,NA,NA,Potyviridae,NA,NA,NA,Ipomovirus,NA,NA,NA,Ipomovirus brunusmanihotis,1
ICTVTaxoChallenge_107670,Riboviria,NA,NA,NA,Pararnavirae,NA,NA,NA,Artverviricota,NA,NA,NA,Revtraviricetes,NA,NA,NA,Ortervirales,NA,NA,NA,Caulimoviridae,NA,NA,NA,Badnavirus,NA,NA,NA,Badnavirus epsilonvirgamusae,1
ICTVTaxoChallenge_108539,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,0.252,NA,NA,NA,NA
ICTVTaxoChallenge_108578,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Nucleocytoviricota,NA,NA,NA,Pokkesviricetes,NA,NA,NA,Chitovirales,NA,NA,NA,Poxviridae,NA,Chordopoxvirinae,,Orthopoxvirus,NA,NA,NA,Orthopoxvirus variola,0.9968
ICTVTaxoChallenge_108674,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus agerainvolutionis,0.6161
ICTVTaxoChallenge_110216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Naldaviricetes,NA,NA,NA,Lefavirales,NA,NA,NA,Baculoviridae,NA,NA,NA,Alphabaculovirus,NA,NA,NA,Alphabaculovirus covestigialis,0.9773
ICTVTaxoChallenge_110809,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Flasuviricetes,NA,NA,NA,Amarillovirales,NA,NA,NA,Flaviviridae,NA,NA,NA,Orthoflavivirus,NA,NA,NA,Orthoflavivirus wesselsbronense,0.9481
ICTVTaxoChallenge_111165,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Mastrevirus,0.5981,NA,NA,NA,NA
ICTVTaxoChallenge_111328,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Duplopiviricetes,NA,NA,NA,Durnavirales,NA,NA,NA,Amalgaviridae,NA,NA,NA,Amalgavirus,NA,NA,NA,Amalgavirus rhododendri,1
ICTVTaxoChallenge_111582,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Alsuviricetes,NA,NA,NA,Tymovirales,NA,NA,NA,Alphaflexiviridae,NA,NA,NA,Potexvirus,NA,NA,NA,Potexvirus flavitrifolii,0.9777
ICTVTaxoChallenge_111771,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Mastrevirus,NA,NA,NA,Mastrevirus saccharofficinari,0.7786
ICTVTaxoChallenge_111807,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Quintoviricetes,NA,NA,NA,Piccovirales,NA,NA,NA,Parvoviridae,NA,Hamaparvovirinae,,Chaphamaparvovirus,0.4935,NA,NA,NA,NA
ICTVTaxoChallenge_111992,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Sepolyvirales,NA,NA,NA,Polyomaviridae,NA,NA,NA,Alphapolyomavirus,NA,NA,NA,Alphapolyomavirus chlopygerythrus,0.9191
ICTVTaxoChallenge_112747,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Tolucaviricetes,NA,NA,NA,Tolivirales,NA,NA,NA,Tombusviridae,NA,Regressovirinae,NA,Dianthovirus,0.5359,NA,NA,NA,NA
ICTVTaxoChallenge_113604,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Alpharhabdovirinae,NA,Sunrhavirus,0.6816,NA,NA,NA,NA
ICTVTaxoChallenge_113673,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Quintoviricetes,NA,NA,NA,Piccovirales,NA,NA,NA,Parvoviridae,NA,Densovirinae,,Blattambidensovirus,0.4223,NA,NA,NA,NA
ICTVTaxoChallenge_113789,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus clerodendrumchinaense,0.869
ICTVTaxoChallenge_114294,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Cornidovirineae,NA,Coronaviridae,NA,NA,NA,Alphacoronavirus,NA,NA,NA,Alphacoronavirus triaenopis,0.9789
ICTVTaxoChallenge_114304,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus macroptilicommunis,1
ICTVTaxoChallenge_115737,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Treisthetapapillomavirus,NA,NA,NA,Treisthetapapillomavirus 1,0.9827
ICTVTaxoChallenge_115882,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Mastrevirus,NA,NA,NA,Mastrevirus didactylae,1
ICTVTaxoChallenge_116105,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Dichorhavirus,NA,NA,NA,Dichorhavirus clerodendri,0.9995
ICTVTaxoChallenge_116268,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Patatavirales,NA,NA,NA,Potyviridae,NA,NA,NA,Potyvirus,NA,NA,NA,Potyvirus caricae,1
ICTVTaxoChallenge_116327,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Quintoviricetes,NA,NA,NA,Piccovirales,NA,NA,NA,Parvoviridae,NA,Parvovirinae,,Dependoparvovirus,NA,NA,NA,Dependoparvovirus avian1,0.9988
ICTVTaxoChallenge_116455,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Zetapapillomavirus,NA,NA,NA,Zetapapillomavirus 1,0.9838
ICTVTaxoChallenge_116466,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Sepolyvirales,NA,NA,NA,Polyomaviridae,NA,NA,NA,Betapolyomavirus,NA,NA,NA,Betapolyomavirus secudobsoniae,0.8794
ICTVTaxoChallenge_117060,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Paramyxoviridae,NA,Rubulavirinae,,Pararubulavirus,0.6081,NA,NA,NA,NA
ICTVTaxoChallenge_117670,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus daturae,0.8027
ICTVTaxoChallenge_118163,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Nucleocytoviricota,NA,NA,NA,Megaviricetes,NA,NA,NA,Pimascovirales,NA,NA,NA,Iridoviridae,NA,Alphairidovirinae,,Ranavirus,NA,NA,NA,Ranavirus alytes1,0.9102
ICTVTaxoChallenge_118197,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Varicosavirus,0.777,NA,NA,NA,NA
ICTVTaxoChallenge_118671,Riboviria,NA,NA,NA,Pararnavirae,NA,NA,NA,Artverviricota,NA,NA,NA,Revtraviricetes,NA,NA,NA,Ortervirales,NA,NA,NA,Caulimoviridae,NA,NA,NA,Badnavirus,NA,NA,NA,Badnavirus maculakalanchoes,1
ICTVTaxoChallenge_118841,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Arfiviricetes,NA,NA,NA,Cirlivirales,NA,NA,NA,Circoviridae,NA,NA,NA,Cyclovirus,NA,NA,NA,Cyclovirus mutum,0.9791
ICTVTaxoChallenge_119116,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Picornavirales,NA,NA,NA,Iflaviridae,NA,NA,NA,Iflavirus,NA,NA,NA,Iflavirus lineacelli,1
ICTVTaxoChallenge_119810,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus triumfettae,0.8615
ICTVTaxoChallenge_120065,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,0.5806,NA,NA,NA,NA
ICTVTaxoChallenge_120402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Naldaviricetes,NA,NA,NA,Lefavirales,NA,NA,NA,Baculoviridae,NA,NA,NA,Deltabaculovirus,NA,NA,NA,Deltabaculovirus cunigripalpi,0.9792
ICTVTaxoChallenge_12090,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Preplasmiviricota,NA,NA,NA,Tectiliviricetes,NA,NA,NA,Rowavirales,NA,NA,NA,Adenoviridae,NA,NA,NA,Mastadenovirus,NA,NA,NA,Mastadenovirus adami,0.8653
ICTVTaxoChallenge_121143,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Alsuviricetes,NA,NA,NA,Tymovirales,NA,NA,NA,Alphaflexiviridae,NA,NA,NA,Allexivirus,NA,NA,NA,Allexivirus alphallii,0.9861
ICTVTaxoChallenge_121150,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Gammapapillomavirus,NA,NA,NA,Gammapapillomavirus 21,1
ICTVTaxoChallenge_121312,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus sidaureimaculae,0.8444
ICTVTaxoChallenge_121547,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Cornidovirineae,NA,Coronaviridae,NA,NA,NA,Alphacoronavirus,NA,NA,NA,Alphacoronavirus rousetti,0.9901
ICTVTaxoChallenge_12178,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Preplasmiviricota,NA,NA,NA,Tectiliviricetes,NA,NA,NA,Rowavirales,NA,NA,NA,Adenoviridae,NA,NA,NA,Siadenovirus,NA,NA,NA,Siadenovirus ranae,0.9129
ICTVTaxoChallenge_122583,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Nucleocytoviricota,NA,NA,NA,Megaviricetes,NA,NA,NA,Pimascovirales,NA,NA,NA,Iridoviridae,NA,Alphairidovirinae,,Ranavirus,NA,NA,NA,Ranavirus alytes1,0.9016
ICTVTaxoChallenge_122753,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Alpharhabdovirinae,NA,Sigmavirus,NA,NA,NA,Sigmavirus obscura,0.9967
ICTVTaxoChallenge_122987,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Nucleocytoviricota,NA,NA,NA,Megaviricetes,NA,NA,NA,Pimascovirales,NA,NA,NA,Iridoviridae,NA,Alphairidovirinae,,Ranavirus,NA,NA,NA,Ranavirus alytes1,0.8441
ICTVTaxoChallenge_123256,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Gammapapillomavirus,NA,NA,NA,Gammapapillomavirus 7,0.9846
ICTVTaxoChallenge_123558,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus catharanthi,1
ICTVTaxoChallenge_123762,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus verbenae,0.8607
ICTVTaxoChallenge_1249,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Nucleocytoviricota,NA,NA,NA,Pokkesviricetes,NA,NA,NA,Chitovirales,NA,NA,NA,Poxviridae,NA,Chordopoxvirinae,,Capripoxvirus,NA,NA,NA,Capripoxvirus goatpox,0.9952
ICTVTaxoChallenge_125203,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Quintoviricetes,NA,NA,NA,Piccovirales,NA,NA,NA,Parvoviridae,NA,Densovirinae,,Pefuambidensovirus,0.4097,NA,NA,NA,NA
ICTVTaxoChallenge_12558,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Quintoviricetes,NA,NA,NA,Piccovirales,NA,NA,NA,Parvoviridae,NA,Parvovirinae,,Dependoparvovirus,NA,NA,NA,Dependoparvovirus primate1,1
ICTVTaxoChallenge_125745,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus ipomoeasichuanprimi,0.7535
ICTVTaxoChallenge_12578,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus agerati,1
ICTVTaxoChallenge_125791,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Sepolyvirales,NA,NA,NA,Polyomaviridae,NA,NA,NA,Betapolyomavirus,NA,NA,NA,Betapolyomavirus canis,0.8659
ICTVTaxoChallenge_125911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Naldaviricetes,NA,NA,NA,Lefavirales,NA,NA,NA,Baculoviridae,NA,NA,NA,Alphabaculovirus,0.4029,NA,NA,NA,NA
ICTVTaxoChallenge_125973,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Alsuviricetes,NA,NA,NA,Tymovirales,NA,NA,NA,Alphaflexiviridae,NA,NA,NA,Potexvirus,NA,NA,NA,Potexvirus ecsopuntiae,1
ICTVTaxoChallenge_126509,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Varicosavirus,0.6233,NA,NA,NA,NA
ICTVTaxoChallenge_126837,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Stellavirales,NA,NA,NA,Astroviridae,NA,NA,NA,Mamastrovirus,NA,NA,NA,Mamastrovirus melbournense,0.7021
ICTVTaxoChallenge_127310,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,0.2292,NA,NA,NA,NA
ICTVTaxoChallenge_127741,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Preplasmiviricota,NA,NA,NA,Tectiliviricetes,NA,NA,NA,Rowavirales,NA,NA,NA,Adenoviridae,NA,NA,NA,Mastadenovirus,NA,NA,NA,Mastadenovirus otariidae,0.9267
ICTVTaxoChallenge_127786,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Deltapapillomavirus,NA,NA,NA,Deltapapillomavirus 4,0.9737
ICTVTaxoChallenge_12794,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus solanumcontorsionis,0.8784
ICTVTaxoChallenge_128511,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Tolucaviricetes,NA,NA,NA,Tolivirales,NA,NA,NA,Tombusviridae,NA,Procedovirinae,NA,Tombusvirus,NA,NA,NA,Tombusvirus bulgariaense,1
ICTVTaxoChallenge_128882,Riboviria,NA,NA,NA,Pararnavirae,NA,NA,NA,Artverviricota,NA,NA,NA,Revtraviricetes,NA,NA,NA,Ortervirales,NA,NA,NA,Caulimoviridae,NA,NA,NA,Badnavirus,NA,NA,NA,Badnavirus alphamaculaflavicannae,1
