SequenceID,Realm (-viria),Realm_score,Subrealm (-vira),Subrealm_score,Kingdom (-virae),Kingdom_score,Subkingdom (-virites),Subkingdom_score,Phylum (-viricota),Phylum_score,Subphylum (-viricotina),Subphylum_score,Class (-viricetes),Class_score,Subclass (-viricetidae),Subclass_score,Order (-virales),Order_score,Suborder (-virineae),Suborder_score,Family (-viridae),Family_score,Subfamily (-virinae),Subfamily_score,Genus (-virus),Genus_score,Subgenus (-virus),Subgenus_score,Species (binomial),Species_score
ICTVTaxoChallenge_322928,,,,,,,,,,,,,Caudoviricetes,0.3308,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_843872,,,,,,,,,,,,,Caudoviricetes,0.2982,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_85392,,,,,,,,,,,,,Caudoviricetes,0.4233,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_64406,,,,,,,,,,,,,Caudoviricetes,0.4137,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_644442,,,,,,,,,,,,,Caudoviricetes,0.4345,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_65022,,,,,,,,,,,,,Caudoviricetes,0.3311,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_651184,,,,,,,,,,,,,Caudoviricetes,0.359,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_661691,,,,,,,,,,,,,Caudoviricetes,0.2418,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_240994,,,,,,,,,,,,,Caudoviricetes,0.3134,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_241332,,,,,,,,,,,,,Caudoviricetes,0.4154,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_243070,,,,,,,,,,,,,Caudoviricetes,0.4326,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_253921,,,,,,,,,,,,,Caudoviricetes,0.3935,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_254265,,,,,,,,,,,,,Caudoviricetes,0.3441,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_254473,,,,,,,,,,,,,Caudoviricetes,0.4327,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_984383,,,,,,,,,,,,,Caudoviricetes,0.4193,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_986837,,,,,,,,,,,,,Caudoviricetes,0.3938,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_992243,,,,,,,,,,,,,Caudoviricetes,0.3723,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_201099,,,,,,,,,,,,,Caudoviricetes,0.2864,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_204081,,,,,,,,,,,,,Caudoviricetes,0.3567,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_205369,,,,,,,,,,,,,Caudoviricetes,0.3871,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_207985,,,,,,,,,,,,,Caudoviricetes,0.363,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_208729,,,,,,,,,,,,,Caudoviricetes,0.4333,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_884046,,,,,,,,,,,,,Caudoviricetes,0.3829,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_885168,,,,,,,,,,,,,Caudoviricetes,0.3304,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_886055,,,,,,,,,,,,,Caudoviricetes,0.2898,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_886542,,,,,,,,,,,,,Caudoviricetes,0.3317,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_886590,,,,,,,,,,,,,Caudoviricetes,0.268,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_889376,,,,,,,,,,,,,Caudoviricetes,0.373,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_893971,,,,,,,,,,,,,Caudoviricetes,0.3324,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_530394,,,,,,,,,,,,,Caudoviricetes,0.3217,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_537141,,,,,,,,,,,,,Caudoviricetes,0.3502,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_543537,,,,,,,,,,,,,Caudoviricetes,0.4366,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_326298,,,,,,,,,,,,,Caudoviricetes,0.3055,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_32940,,,,,,,,,,,,,Caudoviricetes,0.3982,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_332665,,,,,,,,,,,,,Caudoviricetes,0.2943,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_347610,,,,,,,,,,,,,Caudoviricetes,0.429,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_596919,,,,,,,,,,,,,Caudoviricetes,0.2996,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_603383,,,,,,,,,,,,,Caudoviricetes,0.387,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_608585,,,,,,,,,,,,,Caudoviricetes,0.32,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_614536,,,,,,,,,,,,,Caudoviricetes,0.3849,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_349053,,,,,,,,,,,,,Caudoviricetes,0.2733,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_354113,,,,,,,,,,,,,Caudoviricetes,0.3217,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_355676,,,,,,,,,,,,,Caudoviricetes,0.3948,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_357681,,,,,,,,,,,,,Caudoviricetes,0.4061,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_358858,,,,,,,,,,,,,Caudoviricetes,0.4285,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_361514,,,,,,,,,,,,,Caudoviricetes,0.3832,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_368882,,,,,,,,,,,,,Caudoviricetes,0.4154,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_921681,,,,,,,,,,,,,Caudoviricetes,0.3977,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_922790,,,,,,,,,,,,,Caudoviricetes,0.4025,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_923849,,,,,,,,,,,,,Caudoviricetes,0.3219,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_930471,,,,,,,,,,,,,Caudoviricetes,0.3084,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_931573,,,,,,,,,,,,,Caudoviricetes,0.2556,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_934914,,,,,,,,,,,,,Caudoviricetes,0.3466,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_937839,,,,,,,,,,,,,Caudoviricetes,0.4008,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_939187,,,,,,,,,,,,,Caudoviricetes,0.337,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_257316,,,,,,,,,,,,,Caudoviricetes,0.3014,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_263388,,,,,,,,,,,,,Caudoviricetes,0.3698,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_266427,,,,,,,,,,,,,Caudoviricetes,0.3409,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_268815,,,,,,,,,,,,,Caudoviricetes,0.378,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_269708,,,,,,,,,,,,,Caudoviricetes,0.3559,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_272846,,,,,,,,,,,,,Caudoviricetes,0.312,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_27324,,,,,,,,,,,,,Caudoviricetes,0.421,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_274156,,,,,,,,,,,,,Caudoviricetes,0.3604,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_106915,,,,,,,,,,,,,Caudoviricetes,0.321,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_107016,,,,,,,,,,,,,Caudoviricetes,0.3449,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_112546,,,,,,,,,,,,,Caudoviricetes,0.3731,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_120123,,,,,,,,,,,,,Caudoviricetes,0.2719,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_121204,,,,,,,,,,,,,Caudoviricetes,0.3006,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_127098,,,,,,,,,,,,,Caudoviricetes,0.3046,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_132598,,,,,,,,,,,,,Caudoviricetes,0.3115,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_134411,,,,,,,,,,,,,Caudoviricetes,0.3165,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_135065,,,,,,,,,,,,,Caudoviricetes,0.3835,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_139138,,,,,,,,,,,,,Caudoviricetes,0.33,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_139656,,,,,,,,,,,,,Caudoviricetes,0.3884,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_146804,,,,,,,,,,,,,Caudoviricetes,0.3046,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_150878,,,,,,,,,,,,,Caudoviricetes,0.3517,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_158552,,,,,,,,,,,,,Caudoviricetes,0.292,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_160113,,,,,,,,,,,,,Caudoviricetes,0.2811,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_620677,,,,,,,,,,,,,Caudoviricetes,0.4386,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_425069,,,,,,,,,,,,,Caudoviricetes,0.4853,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_429431,,,,,,,,,,,,,Caudoviricetes,0.5049,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_774288,,,,,,,,,,,,,Caudoviricetes,0.4779,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_96389,,,,,,,,,,,,,Caudoviricetes,0.506,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_728834,,,,,,,,,,,,,Caudoviricetes,0.5122,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_745813,,,,,,,,,,,,,Caudoviricetes,0.4826,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_161909,,,,,,,,,,,,,Caudoviricetes,0.4184,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_126296,,,,,,,,,,,,,Caudoviricetes,0.4955,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_763090,,,,,,,,,,,,,Caudoviricetes,0.4992,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_671728,,,,,,,,,,,,,Caudoviricetes,0.4389,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_401890,,,,,,,,,,,,,Caudoviricetes,0.457,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_412972,,,,,,,,,,,,,Caudoviricetes,0.4594,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_565964,,,,,,,,,,,,,Caudoviricetes,0.4813,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_570962,,,,,,,,,,,,,Caudoviricetes,0.5034,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_179874,,,,,,,,,,,,,Caudoviricetes,0.4908,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_478418,,,,,,,,,,,,,Caudoviricetes,0.4438,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_383169,,,,,,,,,,,,,Caudoviricetes,0.4513,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_388081,,,,,,,,,,,,,Caudoviricetes,0.4799,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_574433,,,,,,,,,,,,,Caudoviricetes,0.4679,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_577244,,,,,,,,,,,,,Caudoviricetes,0.4434,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_586170,,,,,,,,,,,,,Caudoviricetes,0.5029,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_322222,,,,,,,,,,,,,Caudoviricetes,0.491,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_32399,,,,,,,,,,,,,Caudoviricetes,0.4533,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_847382,,,,,,,,,,,,,Caudoviricetes,0.4824,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_71976,,,,,,,,,,,,,Caudoviricetes,0.495,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_727701,,,,,,,,,,,,,Caudoviricetes,0.4812,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_70138,,,,,,,,,,,,,Caudoviricetes,0.5083,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_238233,,,,,,,,,,,,,Caudoviricetes,0.4466,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_97779,,,,,,,,,,,,,Caudoviricetes,0.4513,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_544062,,,,,,,,,,,,,Caudoviricetes,0.5093,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_610727,,,,,,,,,,,,,Caudoviricetes,0.5066,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_937321,,,,,,,,,,,,,Caudoviricetes,0.4678,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_134804,,,,,,,,,,,,,Caudoviricetes,0.4992,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_164718,,,,,,,,,,,,,Caudoviricetes,0.5091,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_165431,,,,,,,,,,,,,Caudoviricetes,0.3606,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_166001,,,,,,,,,,,,,Caudoviricetes,0.3708,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_274892,,,,,,,,,,,,,Caudoviricetes,0.3525,,,,,,,,,,,,,,,,
ICTVTaxoChallenge_579720,,,,,,,,,,,,,,,,,,,,,Paramyxoviridae,0.3158,,,,,,,,
ICTVTaxoChallenge_142787,,,,,,,,,,,,,,,,,,,,,Schitoviridae,0.4454,,,,,,,,
ICTVTaxoChallenge_16934,,,,,,,,,,,,,,,,,,,,,Aliceevansviridae,0.5044,,,,,,,,
ICTVTaxoChallenge_101962,,,,,,,,,,,,,,,,,,,,,Circoviridae,0.4645,,,,,,,,
ICTVTaxoChallenge_161186,,,,,,,,,,,,,,,,,,,,,Inoviridae,0.2246,,,,,,,,
ICTVTaxoChallenge_160814,,,,,,,,,,,,,,,,,,,,,Mimiviridae,0.041,,,,,,,,
ICTVTaxoChallenge_103051,,,,,,,,,,,,,,,,,,,,,Rhabdoviridae,0.3974,,,,,,,,
ICTVTaxoChallenge_174057,,,,,,,,,,,,,,,,,,,,,Rhabdoviridae,0.4679,,,,,,,,
ICTVTaxoChallenge_216307,,,,,,,,,,,,,,,,,,,,,Parvoviridae,0.3699,,,,,,,,
