Isolate ID,Species Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome,Host source,Accessions Link
1000042,42,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictavirus,,Ictavirus ictaluridallo2,E,black bullhead herpesvirus; ictalurid herpesvirus 2,IcHV2,760/94,MG271984,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000043,43,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmovirus,,Salmovirus salmonidallo1,E,herpesvirus salmonis; salmonid herpesvirus 1,SalHV1,Winthrop,AF023673,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
1000044,44,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmovirus,,Salmovirus salmonidallo2,E,Oncorhyncus masou herpesvirus; salmonid herpesvirus 2,SalHV2,NeVTA,EU349274,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
1000045,45,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmovirus,,Salmovirus salmonidallo3,E,epizootic epitheliotropic disease virus; salmonid herpesvirus 3,SalHV3,Wisconsin epidemic,EU349277,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
1000046,46,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Malacoherpesviridae,,Aurivirus,,Aurivirus haliotidmalaco1,E,abalone herpesvirus; haliotid herpesvirus 1,AbHV1; HaHV1,Victoria/AUS/2009,JX453331,Complete genome,dsDNA,invertebrates,NCBI Nucleotide
1000047,47,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Malacoherpesviridae,,Ostreavirus,,Ostreavirus ostreidmalaco1,E,oyster herpesvirus; ostreid herpesvirus 1,OHV; OsHV1,,AY509253,Complete genome,dsDNA,invertebrates,NCBI Nucleotide
1000048,48,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus cacatuidalpha2,E,cacatuid alphaherpesvirus 2,CcAHV2,CaHV2/Melbourne/2015,MK360902,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000049,49,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus gallidalpha1,E,gallid alphaherpesvirus 1; infectious laryngotracheitis virus,GaAHV1; ILTV,SA2,JN596962,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000050,50,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus psittacidalpha1,E,psittacid alphaherpesvirus 1; Pacheco's disease virus,PsAHV1; PDV,97-0001,AY372243,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000051,51,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus psittacidalpha5,E,psittacid alphaherpesvirus 5,PsAHV5,16-4047,MK955929,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000052,52,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus anatidalpha1,E,anatid alphaherpesvirus 1; duck enteritis virus,AnAHV1; DEV,2085,JF999965,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000053,53,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus columbidalpha1,E,columbid alphaherpesvirus 1; pigeon herpesvirus,CoAHV1; PHV,HLJ,KX589235,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000054,54,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus gallidalpha2,E,gallid alphaherpesvirus 2; Marek's disease virus,GaAHV2; MDV,Md5,AF243438,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000055,55,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus gallidalpha3,E,gallid alphaherpesvirus 3; gallid herpesvirus 3,GaAHV3,SB-1,HQ840738,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000056,56,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus meleagridalpha1,E,meleagrid alphaherpesvirus 1; turkey herpesvirus,MeAHV1; HVT,FC-126 (Burmenester),AF291866,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000057,57,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus spheniscidalpha1,E,spheniscid alphaherpesvirus 1,SpAHV1,lib01004,LT608135,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000058,58,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Scutavirus,,Scutavirus chelonidalpha5,E,chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus,ChAHV5; FPTHV,CH-651-60O9,HQ878327,Partial genome,dsDNA,vertebrates,NCBI Nucleotide
1000059,59,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Scutavirus,,Scutavirus testudinidalpha3,E,testudinid alphaherpesvirus 3; testudinid herpesvirus 3,TeAHV3; TeHV3,1976,KM924292,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000060,60,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus atelinealpha1,E,ateline alphaherpesvirus 1; herpesvirus ateles 1,AtAHV1; HVA1,Lennette,KY385637,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000061,61,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus bovinealpha2,E,bovine alphaherpesvirus 2; bovine mammillitis virus,BoAHV2; BMV,C1Z FZR,MT862163,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000062,62,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus cercopithecinealpha2,E,cercopithecine alphaherpesvirus 2; simian agent 8,CeAHV2; SA8,B264,AY714813,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000063,63,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus humanalpha1,E,human alphaherpesvirus 1; herpes simplex virus 1,HuAHV1; HSV1,17,JN555585,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000064,64,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus humanalpha2,E,human alphaherpesvirus 2; herpes simplex virus 2,HuAHV2; HSV2,HG52,JN561323,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000065,65,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus leporidalpha4,E,leporid alphaherpesvirus 4; leporid herpesvirus 4,LeAHV4; LHV4,LHV4012612,JQ596859,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000066,66,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha1,E,macacine alphaherpesvirus 1; B-virus,McAHV1; BV,E2490,AF533768,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000067,67,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha2,E,macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1,McAHV2,8100812,KY628968,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000068,68,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha3,E,macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1,McAHV3,KQ,KY628970,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000069,69,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha1,E,macropodid alphaherpesvirus 1; Parma wallaby herpesvirus,MaAHV1,MaHV1.3076/08,KT594769,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000070,70,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha2,E,macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus,MaAHV2,V3077/08,MT900475,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000071,71,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha4,E,macropodid alphaherpesvirus 4,MaAHV4,V3116/09,MT900474,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000072,72,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus paninealpha3,E,panine alphaherpesvirus 3; chimpanzee herpesvirus,PnAHV3; ChHV,105640,JQ360576,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000073,73,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus papiinealpha2,E,papiine alphaherpesvirus 2; herpesvirus papio 2,PaAHV2; HPV2,X313,DQ149153,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000074,74,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus pteropodidalpha1,E,pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1,PtHAV1; FBAHV1,,AB825953,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000075,75,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus pteropodidalpha2,E,pteropodid alphaherpesvirus 2; Pteropus lylei-associated alphaherpesvirus,PtAHV2; PLAHV,,LC492974,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000076,76,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus saimiriinealpha1,E,saimiriine alphaherpesvirus 1; herpesvirus saimiri 1,SaAHV1; HVS1,MV 5-4,HM625781,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000077,77,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bovinealpha1,E,bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus,BoAHV1; IBRV,Cooper/NVSL challenge 97-11,JX898220,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000078,78,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bovinealpha5,E,bovine alphaherpesvirus 5; bovine encephalitis herpesvirus,BoAHV5,SV507/99,AY261359,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000079,79,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bubalinealpha1,E,bubaline alphaherpesvirus 1; water buffalo herpesvirus,BuAHV1,b6,KU936049,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000080,80,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus canidalpha1,E,canid alphaherpesvirus 1; canine herpesvirus,CaAHV1; CHV,194,KT819633,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000081,81,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus caprinealpha1,E,caprine alphaherpesvirus 1; goat herpesvirus,CpAHV1,E/CH,MG989243,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
1000082,82,1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus cercopithecinealpha9,E,cercopithecine alphaherpesvirus 9; simian varicella virus,CeAHV9; SVV,Delta,AF275348,Complete genome,dsDNA,vertebrates,NCBI Nucleotide
