Query_ID,Query,Reference_ID,Reference,Ref_Genus,Ref_Species,Distance,Assignment,Ref_Family,Class
Query_4,ICTVTaxoChallenge_306300,1631916624,1631916624,Mimasvirus,Mimasvirus CBB,0.7001,Different Families,Unclassified,Caudoviricetes
Query_9,ICTVTaxoChallenge_306736,593777468,593777468,Donellivirus,Donellivirus gee,0.6018,Different Families,Unclassified,Caudoviricetes
Query_33,ICTVTaxoChallenge_312811,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6137,Different Families,Unclassified,Caudoviricetes
Query_36,ICTVTaxoChallenge_31297,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6603,Different Families,Unclassified,Caudoviricetes
Query_71,ICTVTaxoChallenge_320584,1842031157,1842031157,Aerosvirus,Aerosvirus ZPAH7,0.661,Different Families,Autographiviridae,Caudoviricetes
Query_76,ICTVTaxoChallenge_321374,1842022583,1842022583,Bertelyvirus,Bertelyvirus BL9,0.6689,Different Families,Unclassified,Caudoviricetes
Query_84,ICTVTaxoChallenge_322928,589889317,589889317,Jwalphavirus,Jwalphavirus jwalpha,0.6692,Different Families,Schitoviridae,Caudoviricetes
Query_43,ICTVTaxoChallenge_843872,1112883066,1112883066,Peduovirus,Peduovirus STYP1,0.7018,Different Families,Peduoviridae,Caudoviricetes
Query_87,ICTVTaxoChallenge_85392,1631921414,1631921414,Tidunavirus,Tidunavirus pTD1,0.5767,Different Families,Unclassified,Caudoviricetes
Query_10,ICTVTaxoChallenge_64406,281416385,281416385,Moineauvirus,Moineauvirus Abc2,0.5863,Different Families,Unclassified,Caudoviricetes
Query_12,ICTVTaxoChallenge_644442,414089586,414089586,Shapirovirus,Shapirovirus swift,0.5655,Different Families,Unclassified,Caudoviricetes
Query_37,ICTVTaxoChallenge_65022,109392353,109392353,Coopervirus,Coopervirus cooper,0.6689,Different Families,Unclassified,Caudoviricetes
Query_44,ICTVTaxoChallenge_651184,1842022091,1842022091,Colossusvirus,Colossusvirus PW,0.641,Different Families,Unclassified,Caudoviricetes
Query_91,ICTVTaxoChallenge_661691,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.7582,Different Families,Unclassified,Caudoviricetes
Query_21,ICTVTaxoChallenge_240994,414088056,414088056,Colossusvirus,Colossusvirus colossus,0.6866,Different Families,Unclassified,Caudoviricetes
Query_23,ICTVTaxoChallenge_241332,1070637863,1070637863,Nymphadoravirus,Nymphadoravirus kita,0.5846,Different Families,Unclassified,Caudoviricetes
Query_30,ICTVTaxoChallenge_243070,1842035105,1842035105,Petsuvirus,Petsuvirus pEtSU,0.5674,Different Families,Unclassified,Caudoviricetes
Query_81,ICTVTaxoChallenge_253921,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6065,Different Families,Unclassified,Caudoviricetes
Query_84,ICTVTaxoChallenge_254265,338826857,338826857,Emalynvirus,Emalynvirus GTE2,0.6559,Different Families,Unclassified,Caudoviricetes
Query_85,ICTVTaxoChallenge_254473,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.5673,Different Families,Unclassified,Caudoviricetes
Query_44,ICTVTaxoChallenge_984383,1631933011,1631933011,Samistivirus,Samistivirus nootnoot,0.5807,Different Families,Unclassified,Caudoviricetes
Query_53,ICTVTaxoChallenge_986837,1842035105,1842035105,Petsuvirus,Petsuvirus pEtSU,0.6062,Different Families,Unclassified,Caudoviricetes
Query_64,ICTVTaxoChallenge_992243,281416385,281416385,Moineauvirus,Moineauvirus Abc2,0.6277,Different Families,,Caudoviricetes
Query_26,ICTVTaxoChallenge_201099,1631934992,1631934992,Risingsunvirus,Risingsunvirus risingsun,0.7136,Different Families,Unclassified,Caudoviricetes
Query_41,ICTVTaxoChallenge_204081,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6433,Different Families,Unclassified,Caudoviricetes
Query_49,ICTVTaxoChallenge_205369,414088861,414088861,Poindextervirus,Poindextervirus rogue,0.6129,Different Families,Unclassified,Caudoviricetes
Query_60,ICTVTaxoChallenge_207985,593777468,593777468,Donellivirus,Donellivirus gee,0.637,Different Families,Unclassified,Caudoviricetes
Query_64,ICTVTaxoChallenge_208729,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.5667,Different Families,Unclassified,Caudoviricetes
Query_17,ICTVTaxoChallenge_884046,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6171,Different Families,Unclassified,Caudoviricetes
Query_25,ICTVTaxoChallenge_885168,1842022091,1842022091,Colossusvirus,Colossusvirus PW,0.6696,Different Families,Unclassified,Caudoviricetes
Query_32,ICTVTaxoChallenge_886055,1842035105,1842035105,Petsuvirus,Petsuvirus pEtSU,0.7102,Different Families,Unclassified,Caudoviricetes
Query_33,ICTVTaxoChallenge_886542,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6683,Different Families,Unclassified,Caudoviricetes
Query_34,ICTVTaxoChallenge_886590,1859659502,1859659502,Aphroditevirus,Aphroditevirus USC1,0.732,Different Families,Unclassified,Caudoviricetes
Query_44,ICTVTaxoChallenge_889376,414087713,414087713,Shapirovirus,Shapirovirus cbk,0.627,Different Families,Unclassified,Caudoviricetes
Query_70,ICTVTaxoChallenge_893971,1859658935,1859658935,Lahexavirus,Lahexavirus LAh6,0.6676,Different Families,Unclassified,Caudoviricetes
Query_7,ICTVTaxoChallenge_530394,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6783,Different Families,Unclassified,Caudoviricetes
Query_43,ICTVTaxoChallenge_537141,1842022583,1842022583,Bertelyvirus,Bertelyvirus BL9,0.6498,Different Families,Unclassified,Caudoviricetes
Query_68,ICTVTaxoChallenge_543537,593777468,593777468,Donellivirus,Donellivirus gee,0.5634,Different Families,Unclassified,Caudoviricetes
Query_4,ICTVTaxoChallenge_326298,1842022091,1842022091,Colossusvirus,Colossusvirus PW,0.6945,Different Families,Unclassified,Caudoviricetes
Query_17,ICTVTaxoChallenge_32940,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6018,Different Families,Unclassified,Caudoviricetes
Query_34,ICTVTaxoChallenge_332665,2033717357,2033717357,Myrnavirus,Myranavirus phabba,0.7057,Different Families,Unclassified,Caudoviricetes
Query_89,ICTVTaxoChallenge_347610,1631933011,1631933011,Samistivirus,Samistivirus nootnoot,0.571,Different Families,Unclassified,Caudoviricetes
Query_8,ICTVTaxoChallenge_596919,1842021755,1842021755,Poindextervirus,Poindextervirus BL10,0.7004,Different Families,Unclassified,Caudoviricetes
Query_44,ICTVTaxoChallenge_603383,1631917847,1631917847,Attisvirus,Attisvirus attis,0.613,Different Families,,Caudoviricetes
Query_69,ICTVTaxoChallenge_608585,338826857,338826857,Emalynvirus,Emalynvirus GTE2,0.68,Different Families,Unclassified,Caudoviricetes
Query_90,ICTVTaxoChallenge_614536,273809728,273809728,Brussowvirus,Brussowvirus ALQ132,0.6151,Different Families,Unclassified,Caudoviricetes
Query_2,ICTVTaxoChallenge_349053,1631921414,1631921414,Tidunavirus,Tidunavirus pTD1,0.7267,Different Families,Unclassified,Caudoviricetes
Query_23,ICTVTaxoChallenge_354113,281416385,281416385,Moineauvirus,Moineauvirus Abc2,0.6783,Different Families,Unclassified,Caudoviricetes
Query_32,ICTVTaxoChallenge_355676,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.6052,Different Families,Unclassified,Caudoviricetes
Query_37,ICTVTaxoChallenge_357681,1631933904,1631933904,Polybotosvirus,Polybotosvirus Atuph07,0.5939,Different Families,Unclassified,Caudoviricetes
Query_43,ICTVTaxoChallenge_358858,9634626,9634626,Moineauvirus,Moineauvirus mv7201,0.5715,Different Families,Unclassified,Caudoviricetes
Query_50,ICTVTaxoChallenge_361514,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6168,Different Families,Unclassified,Caudoviricetes
Query_76,ICTVTaxoChallenge_368882,281416385,281416385,Moineauvirus,Moineauvirus Abc2,0.5846,Different Families,Unclassified,Caudoviricetes
Query_3,ICTVTaxoChallenge_921681,1842022583,1842022583,Bertelyvirus,Bertelyvirus BL9,0.6023,Different Families,Unclassified,Caudoviricetes
Query_6,ICTVTaxoChallenge_922790,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.5975,Different Families,Unclassified,Caudoviricetes
Query_13,ICTVTaxoChallenge_923849,1842022583,1842022583,Bertelyvirus,Bertelyvirus BL9,0.6781,Different Families,Unclassified,Caudoviricetes
Query_46,ICTVTaxoChallenge_930471,1842022091,1842022091,Colossusvirus,Colossusvirus PW,0.6916,Different Families,Unclassified,Caudoviricetes
Query_55,ICTVTaxoChallenge_931573,1631923064,1631923064,Sepunavirus,Sepunavirus SEP1,0.7444,Different Families,Herelleviridae,Caudoviricetes
Query_71,ICTVTaxoChallenge_934914,414088861,414088861,Poindextervirus,Poindextervirus rogue,0.6534,Different Families,Unclassified,Caudoviricetes
Query_82,ICTVTaxoChallenge_937839,712913174,712913174,Jilinvirus,Jilinvirus ep3,0.5992,Different Families,Unclassified,Caudoviricetes
Query_92,ICTVTaxoChallenge_939187,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.663,Different Families,,Caudoviricetes
Query_1,ICTVTaxoChallenge_257316,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6986,Different Families,Unclassified,Caudoviricetes
Query_19,ICTVTaxoChallenge_263388,2026148981,2026148981,Harrisonburgvirus,Harrisonburgvirus persinger,0.6302,Different Families,Unclassified,Caudoviricetes
Query_30,ICTVTaxoChallenge_266427,1859659502,1859659502,Aphroditevirus,Aphroditevirus USC1,0.6591,Different Families,Unclassified,Caudoviricetes
Query_39,ICTVTaxoChallenge_268815,509140683,509140683,Hacavirus,Hacavirus HCTV1,0.622,Different Families,Druskaviridae,Caudoviricetes
Query_47,ICTVTaxoChallenge_269708,1842006976,1842006976,Sasquatchvirus,Sasquatchvirus Y3,0.6441,Different Families,Unclassified,Caudoviricetes
Query_70,ICTVTaxoChallenge_272846,1102620861,1102620861,Sokavirus,Sokavirus swam1,0.688,Different Families,Kyanoviridae,Caudoviricetes
Query_72,ICTVTaxoChallenge_27324,1859659502,1859659502,Aphroditevirus,Aphroditevirus USC1,0.579,Different Families,Unclassified,Caudoviricetes
Query_73,ICTVTaxoChallenge_274156,593777468,593777468,Donellivirus,Donellivirus gee,0.6396,Different Families,Unclassified,Caudoviricetes
Query_76,ICTVTaxoChallenge_274892,2067807438,2067807438,Bertelyvirus,Bertelyvirus SC,0.6475,Different Families,Unclassified,Caudoviricetes
Query_4,ICTVTaxoChallenge_216307,71658845,71658845,Hepandensovirus,Decapod hepandensovirus 1,0.6301,Different Genera,Parvoviridae,
Query_6,ICTVTaxoChallenge_219325,71658845,71658845,Hepandensovirus,Decapod hepandensovirus 1,0.6176,Different Genera,Parvoviridae,
Query_11,ICTVTaxoChallenge_251622,241994927,241994927,Bocaparvovirus,Primate bocaparvovirus 2,0.6268,Different Genera,Parvoviridae,
Query_13,ICTVTaxoChallenge_277879,208429851,208429851,Brevihamaparvovirus,Dipteran brevihamaparvovirus 1,0.7655,Different Genera,Parvoviridae,
Query_20,ICTVTaxoChallenge_334110,1727110177,1727110177,Chaphamaparvovirus,Ungulate chaphamaparvovirus 1,0.6714,Different Genera,Parvoviridae,
Query_29,ICTVTaxoChallenge_455073,71658845,71658845,Hepandensovirus,Decapod hepandensovirus 1,0.6707,Different Genera,Parvoviridae,
Query_41,ICTVTaxoChallenge_551575,9633605,9633605,Pefuambidensovirus,Blattodean pefuambidensovirus 1,0.6625,Different Genera,Parvoviridae,
Query_44,ICTVTaxoChallenge_568180,9633605,9633605,Pefuambidensovirus,Blattodean pefuambidensovirus 1,0.6685,Different Genera,Parvoviridae,
Query_51,ICTVTaxoChallenge_645057,71658845,71658845,Hepandensovirus,Decapod hepandensovirus 1,0.6228,Different Genera,Parvoviridae,
Query_59,ICTVTaxoChallenge_724190,290565727,290565727,Bocaparvovirus,Primate bocaparvovirus 2,0.3828,Different Genera,Parvoviridae,
Query_68,ICTVTaxoChallenge_819910,71658845,71658845,Hepandensovirus,Decapod hepandensovirus 1,0.6406,Different Genera,Parvoviridae,
Query_80,ICTVTaxoChallenge_953632,71658845,71658845,Hepandensovirus,Decapod hepandensovirus 1,0.6196,Different Genera,Parvoviridae,
